Voltage	Acceleration	Displacement	Power
9.796E-5	-0.02881	0.0001348	2.693E-8
0.0002247	-0.0219	9.45E-5	2.607E-8
6.813E-5	-0.01462	5.774E-5	3.18E-8
0.0003888	-0.008572	1.031E-5	3.352E-8
-2.135E-5	-0.003876	-3.645E-5	3.588E-8
-6.436E-6	0.00186	-7.925E-5	3.069E-8
0.0002098	0.009157	-0.0001192	2.573E-8
-8.101E-5	0.0162	-0.0001556	1.868E-8
0.0004932	0.0212	-0.0001752	2.851E-8
-1.389E-5	0.02447	-0.0001905	3.371E-8
0.0004335	0.02763	-0.0001963	3.371E-8
0.0004484	0.03088	-0.000188	3.124E-8
0.0006498	0.03152	-0.0001686	2.106E-8
0.000702	0.02805	-0.0001388	2.489E-8
0.0006572	0.02144	-9.968E-5	1.07E-8
0.0003664	0.01451	-5.718E-5	2.641E-8
0.0004186	0.009042	-1.668E-5	2.39E-8
0.0003142	0.003812	3.201E-5	1.985E-8
0.000441	-0.002956	6.87E-5	1.671E-8
0.0004634	-0.01071	0.0001049	2.045E-8
0.0005603	-0.01772	0.0001342	1.435E-8
8.305E-5	-0.02254	0.0001561	1.092E-8
5.322E-5	-0.02591	0.0001666	2.57E-9
0.0002396	-0.02935	0.0001594	8.925E-9
0.0003515	-0.03195	0.000155	3.016E-9
-0.0001407	-0.03148	0.0001292	3.687E-9
0.0002918	-0.02651	0.0001099	3.751E-9
1.021E-6	-0.01898	7.459E-5	2.733E-9
0.0002247	-0.01191	3.596E-5	1.447E-9
0.0001725	-0.006761	-9.302E-6	4.081E-9
6.813E-5	-0.001721	-4.89E-5	6.955E-9
0.0004932	0.004734	-8.238E-5	2.678E-9
0.0005081	0.0122	-0.0001143	1.487E-9
-8.101E-5	0.01845	-0.0001399	3.373E-9
0.0004037	0.02236	-0.000157	2.624E-9
0.0003142	0.02565	-0.0001599	1.368E-9
0.0001352	0.02901	-0.0001553	3.44E-11
7.559E-5	0.0316	-0.0001398	7.27E-10
7.559E-5	0.0306	-0.000116	1.41E-11
0.0006498	0.02559	-7.888E-5	7.27E-10
0.0003813	0.01854	-4.353E-5	1.039E-9
0.0003739	0.0121	-1.323E-6	3.629E-10
0.000262	0.007105	3.82E-5	8.148E-10
0.0001874	0.001439	8.13E-5	1.042E-11
0.0003739	-0.005996	0.0001199	2.314E-11
0.0007094	-0.01375	0.0001518	7.229E-11
0.000441	-0.01986	0.0001835	9.319E-10
2.339E-5	-0.02396	0.0001932	6.159E-11
0.0005006	-0.02732	0.0001974	7.487E-10
0.0001054	-0.0306	0.0001891	1.317E-11
0.0003515	-0.03223	0.0001759	9.975E-10
0.0004559	-0.03002	0.0001495	1.135E-9
9.051E-5	-0.02362	0.0001219	2.557E-9
0.0001427	-0.01606	8.361E-5	2.198E-9
0.0004335	-0.009745	3.902E-5	3.482E-9
0.0001352	-0.004635	-2.964E-6	1.282E-9
0.0006125	0.0007557	-4.345E-5	2.887E-9
7.559E-5	0.007833	-9.193E-5	7.487E-10
0.000344	0.01502	-0.0001216	5.356E-10
0.0006871	0.02021	-0.0001446	3.992E-10
0.0006945	0.02401	-0.0001556	1.56E-9
0.0003813	0.0272	-0.0001631	1.031E-9
0.0005678	0.03022	-0.0001516	3.493E-13
0.00062	0.03181	-0.0001358	9.916E-11
0.0005901	0.02912	-0.0001052	7.015E-11
-0.0001332	0.02271	-7.515E-5	6.177E-10
5.322E-5	0.0158	-2.981E-5	7.926E-11
0.0002695	0.01022	1.24E-5	1.074E-9
0.0004112	0.00497	5.535E-5	1.017E-10
0.0001576	-0.001244	9.375E-5	4.187E-12
0.0003664	-0.00911	0.0001322	5.359E-11
0.0002098	-0.01635	0.0001594	1.005E-9
6.813E-5	-0.02152	0.0001813	4.257E-10
0.0004783	-0.02497	0.000195	6.442E-10
0.0001427	-0.02843	0.0002014	5.94E-9
0.000359	-0.03145	0.0001884	6.78E-9
0.0002024	-0.03213	0.0001734	4.856E-9
0.0002247	-0.02794	0.0001424	5.154E-9
