Voltage	Acceleration	Displacement	Power
0.0007691	0.000234	-0.05114	1.447E-9
0.0005454	0.0002051	-0.05135	7.585E-9
0.0005156	0.0004531	-0.05069	1.786E-9
0.00062	0.0001895	-0.05071	3.56E-9
0.000262	-7.347E-5	-0.05099	3.074E-9
0.0007094	-7.949E-5	-0.05047	1.006E-8
0.0006945	-0.0004411	-0.05063	4.081E-9
0.0003888	-0.0003834	-0.05013	7.957E-9
0.0001278	-0.0005476	-0.05002	7.677E-9
0.0005305	-0.0007246	-0.05019	7.77E-9
0.0005081	-0.001074	-0.05038	3.623E-9
0.0006274	-0.0008846	-0.05006	4.783E-9
0.0006796	-0.001171	-0.05	4.425E-9
0.00018	-0.001084	-0.04953	2.845E-9
0.0002173	-0.001692	-0.04917	6.608E-9
0.0006721	-0.001631	-0.04944	2.733E-9
0.0003366	-0.001589	-0.04914	3.497E-9
0.0001725	-0.001459	-0.04907	3.751E-9
0.0007169	-0.001672	-0.04925	5.004E-9
0.0006945	-0.001879	-0.04902	8.925E-9
0.0007169	-0.001884	-0.04892	3.687E-9
0.00062	-0.001693	-0.04889	6.608E-9
0.0006423	-0.001782	-0.04866	9.077E-10
0.0006647	-0.001831	-0.04871	1.092E-8
0.0008138	-0.001785	-0.04863	4.783E-9
0.000605	-0.001711	-0.04799	1.786E-9
0.0003217	-0.001542	-0.04792	9.74E-9
0.0005156	-0.0008365	-0.048	2.958E-9
0.0002396	-0.001036	-0.04795	7.132E-9
0.00018	-0.001182	-0.04816	7.957E-9
0.0004484	-0.001071	-0.04775	6.269E-9
0.0006572	-0.0008136	-0.04752	1.698E-9
0.000523	-0.0007865	-0.04741	7.677E-9
0.0003888	-0.0006656	-0.04686	2.111E-9
0.0007691	-0.0008208	-0.04663	1.193E-8
0.0002396	-0.0006975	-0.04718	6.712E-10
0.0009257	-0.0005603	-0.04679	6.186E-9
0.0002844	-0.0006427	-0.04681	5.778E-9
0.0008735	-0.000748	-0.04643	6.78E-9
0.0007915	-0.0008425	-0.04637	4.566E-9
0.001015	-0.0008569	-0.0465	6.608E-9
0.0005976	-0.0007209	-0.04622	5.94E-9
0.0003962	-0.0007787	-0.04581	4.149E-9
0.0004037	-0.000745	-0.04646	1.228E-8
0.0002769	-0.0002997	-0.04581	9.723E-10
0.0006945	-2.894E-5	-0.0456	7.132E-9
0.0005827	0.000231	-0.04554	9.126E-9
0.0002322	0.000104	-0.04579	8.925E-9
4.576E-5	3.966E-5	-0.04583	3.074E-9
0.0005156	0.0002473	-0.04567	1.24E-8
0.0001129	0.0003556	-0.0456	4.081E-9
0.0003217	0.0002051	-0.04532	8.727E-9
-0.0004688	0.0004464	-0.04523	1.136E-8
7.559E-5	0.0006552	-0.04487	1.148E-8
0.000344	0.001157	-0.04484	1.36E-8
0.0004783	0.001419	-0.04434	6.955E-9
0.0003962	0.001283	-0.04478	5.859E-9
0.0005081	0.00127	-0.04417	1.016E-8
0.0001129	0.001444	-0.04408	1.538E-8
0.0004857	0.001503	-0.04409	1.448E-8
6.068E-5	0.001754	-0.04433	2.71E-8
0.0004857	0.001673	-0.04364	2.214E-8
0.0005454	0.001804	-0.04384	2.815E-8
0.0003366	0.002143	-0.04341	1.385E-8
0.0007094	0.001883	-0.04387	2.693E-8
8.305E-5	0.001944	-0.04354	1.631E-8
0.0003888	0.001682	-0.0434	2.833E-8
