Voltage	Acceleration	Displacement	Power
0.0002546	-4.639E-5	0.002172	1.205E-8
0.0004261	-8.19E-5	0.002097	1.136E-8
0.0003068	-3.068E-6	0.002433	9.025E-9
-0.0004464	-7.648E-5	0.002575	9.533E-9
-0.0001779	6.794E-5	0.002261	2.789E-9
-0.0001257	4.266E-5	0.002425	2.464E-9
-0.0003718	7.757E-5	0.002284	2.901E-9
0.0001054	0.000175	0.002657	1.016E-8
0.0001874	0.0001642	0.002448	4.217E-9
-0.0001332	7.757E-5	0.002604	1.291E-9
0.0003142	9.141E-5	0.002701	4.495E-9
-0.0001705	-2.954E-5	0.002604	2.789E-9
0.0004335	5.428E-7	0.002873	1.18E-9
1.021E-6	-1.57E-5	0.002448	1.528E-9
1.021E-6	5.229E-5	0.002493	1.741E-9
0.0007542	0.0001576	0.002537	1.755E-10
0.00062	6.613E-5	0.002843	9.397E-10
0.00018	0.0001955	0.002425	4.187E-12
-0.0001929	9.141E-5	0.00288	2.307E-12
0.0002396	8.599E-5	0.002567	4.879E-10
0.0003888	3.424E-5	0.002261	6.921E-10
0.0003068	3.725E-5	0.002604	6.114E-10
0.000344	3.123E-5	0.002612	9.827E-13
0.0001352	2.822E-5	0.002604	6.377E-10
0.0001203	5.169E-5	0.002478	2.193E-11
-5.118E-5	-5.061E-5	0.002597	2.193E-11
-9.592E-5	5.831E-5	0.002463	7.015E-11
0.0005976	8.599E-5	0.002448	2.314E-11
0.0002322	1.799E-5	0.002589	9.644E-10
0.0003962	0.0002677	0.002619	1.32E-9
0.0001054	0.0001281	0.002925	4.087E-11
0.0009108	0.0001311	0.002761	2.827E-10
0.001112	3.183E-5	0.00244	2.198E-9
0.0001576	0.0001101	0.002843	3.581E-10
0.0004708	0.0001395	0.002269	1.911E-9
0.0001874	0.0001149	0.002403	1.602E-9
0.000262	-8.483E-6	0.002694	1.244E-9
0.0002471	2.348E-6	0.002657	7.487E-10
3.831E-5	0.0001227	0.00288	1.957E-9
0.0002322	-3.556E-5	0.002806	2.193E-11
-6.436E-6	5.428E-7	0.002179	1.41E-11
0.0005827	-7.829E-5	0.002314	1.213E-10
3.831E-5	-2.466E-6	0.002813	2.162E-10
0.0004186	0.0001052	0.002701	1.251E-12
0.0003739	0.0001323	0.002985	4.205E-10
0.0002098	8.057E-5	0.002463	5.359E-11
9.051E-5	0.000225	0.002828	9.616E-12
0.0005305	0.0001173	0.00294	3.384E-10
0.0003962	-3.556E-5	0.002806	1.251E-12
0.0004112	0.0001052	0.002582	8.893E-11
0.00018	-4.639E-5	0.002552	6.177E-10
0.0002546	7.757E-5	0.002619	2.715E-11
0.0003664	2.822E-5	0.00288	4.478E-10
0.0001502	2.642E-5	0.002463	1.876E-9
0.0001576	0.000169	0.002575	7.222E-9
0.0003291	9.622E-5	0.002701	7.402E-9
6.068E-5	7.696E-5	0.002545	9.126E-9
0.0001949	5.357E-6	0.002425	6.955E-9
-3.626E-5	9.682E-5	0.002619	1.17E-8
0.0002173	1.799E-5	0.002522	4.638E-9
0.0002173	-6.866E-5	0.002448	7.957E-9
0.0003515	-8.43E-5	0.002202	1.136E-8
9.051E-5	-0.0001276	0.00256	7.043E-9
0.0002322	-0.0001439	0.002276	6.103E-9
0.0004708	-3.075E-5	0.002396	1.048E-8
0.0003068	-8.972E-5	0.002888	1.473E-8
-0.0006552	-0.0001764	0.002433	9.74E-9
0.000262	-2.473E-5	0.002545	1.103E-8
0.0006945	3.484E-5	0.002619	2.573E-8
-0.0002227	1.378E-5	0.002724	2.293E-8
0.0004559	5.428E-7	0.00256	2.152E-8
-0.0001332	-2.232E-5	0.002276	2.869E-8
0.000441	4.808E-5	0.002082	3.069E-8
-5.118E-5	6.493E-5	0.002403	2.641E-8
0.0002695	3.785E-5	0.002478	1.713E-8
0.0001576	-9.687E-6	0.002366	2.261E-8
-0.0003569	-7.106E-5	0.00253	3.032E-8
-3.626E-5	-0.0002215	0.002545	1.882E-8
0.0004112	-9.814E-5	0.002575	1.74E-8
-4.372E-5	-8.852E-5	0.002388	2.214E-8
0.0003739	0.0001287	0.002396	2.869E-8
0.0001278	0.0001191	0.002314	2.539E-8
0.0001502	9.261E-5	0.002425	3.18E-8
0.0007691	3.845E-5	0.002679	3.05E-8
0.0002396	0.0001275	0.002068	2.833E-8
0.0002546	9.682E-5	0.002217	3.391E-8
0.0005081	7.155E-5	0.00212	3.488E-8
1.594E-5	3.304E-5	0.002657	3.218E-8
0.0001874	3.845E-5	0.002172	2.641E-8
0.0002769	4.748E-5	0.002135	1.397E-8
-5.118E-5	4.628E-5	0.002716	2.309E-8
0.0001874	-0.0001054	0.002284	2.506E-8
0.0001725	4.146E-5	0.002209	3.106E-8
6.813E-5	-5E-5	0.001993	2.59E-8
-1.389E-5	7.516E-5	0.002373	2.358E-8
3.831E-5	0.0002166	0.001702	1.182E-8
0.0001278	0.0002196	0.002343	2.341E-8
0.0001725	0.0002497	0.002097	1.768E-8
9.051E-5	5.169E-5	0.002023	2.198E-8
0.0002396	0.0001811	0.002485	2.341E-8
-0.0003867	0.0001179	0.001993	1.796E-8
0.0001576	-4.459E-5	0.002343	1.658E-8
7.559E-5	-1.39E-5	0.002567	1.538E-8
2.339E-5	3.845E-5	0.002314	1.486E-8
0.00018	-2.774E-5	0.001896	8.826E-9
0.0001502	-0.00013	0.002202	7.677E-9
7.559E-5	-6.384E-5	0.002381	4.425E-9
0.0002173	8.358E-5	0.002299	1.528E-9
0.000523	0.0001612	0.002224	4.149E-9
0.0002247	0.0001389	0.002097	4.043E-10
0.000359	9.321E-5	0.002299	6.186E-9
4.576E-5	9.742E-5	0.002179	3.816E-9
0.0002769	0.0001046	0.002142	4.783E-9
0.0005827	1.679E-5	0.002239	3.252E-9
0.0002471	-4.873E-6	0.002187	1.831E-9
0.0001949	-3.195E-5	0.002425	5.698E-9
0.0003068	-2.834E-5	0.002321	1.786E-9
0.0007691	5.357E-6	0.002023	8.452E-10
0.0001427	2.401E-5	0.002097	6.623E-12
0.0002993	-1.33E-5	0.00253	2.524E-10
0.0002396	-1.57E-5	0.002224	6.921E-10
0.000359	-4.76E-5	0.002112	8.076E-10
0.0002844	8.78E-5	0.002142	9E-10
-0.000163	0.0001197	0.002172	1.332E-10
0.0003217	0.0001058	0.001799	8.893E-11
0.0005379	9.261E-5	0.001971	5.603E-10
0.0002322	-0.0001824	0.002127	1.317E-11
0.0003068	-5.121E-5	0.001844	4.039E-15
0.0003739	-0.0001162	0.002075	4.649E-10
-8.101E-5	-0.000106	0.001866	2.152E-13
0.0001129	-2.052E-5	0.002127	9E-10
0.0002247	-4.519E-5	0.002112	3.581E-10
0.000262	6.56E-6	0.002157	9.975E-10
0.0002322	0.0001462	0.002209	3.384E-10
6.068E-5	5.65E-5	0.001948	1.722E-10
0.0004559	7.764E-6	0.002261	2.247E-9
-0.0004389	0.0001179	0.002232	6.646E-10
0.0003962	0.0001107	0.001918	2.1E-9
0.0002024	-4.519E-5	0.001866	4.879E-10
-0.0001556	5.049E-5	0.002246	5.356E-10
0.0001576	-7.287E-5	0.001918	6.921E-10
0.0006498	-0.0001306	0.002366	1.099E-10
-3.626E-5	-7.106E-5	0.002239	2.827E-10
0.0001427	-3.977E-5	0.00212	3.119E-9
-0.0001705	-8.551E-5	0.002314	3.298E-9
0.0004112	-3.669E-6	0.002157	1.317E-11
-0.0002674	-2.533E-5	0.001971	4.257E-10
0.0003664	-7.167E-5	0.002097	6.921E-10
0.0002546	7.757E-5	0.001844	2.307E-12
0.0002396	0.0001841	0.001941	3.581E-10
-0.0002525	0.0001004	0.00215	2.653E-10
0.000359	9.141E-5	0.001836	4.087E-11
0.0002098	0.0001468	0.002351	1.017E-10
6.068E-5	0.0001113	0.001948	1.18E-9
2.339E-5	-3.075E-5	0.002202	4.495E-9
0.0004261	2.95E-6	0.002038	3.623E-9
1.594E-5	-3.616E-5	0.001769	2.845E-9
