Voltage	Acceleration	Displacement	Power
0.0003068	-0.04224	-0.03077	7.926E-11
0.000359	-0.01617	-0.03048	2.063E-9
0.000262	0.007972	-0.03006	4.789E-11
0.0005528	0.02619	-0.02983	2.715E-11
0.0001278	0.03565	-0.02987	1.18E-9
8.305E-5	0.0329	-0.0298	6.988E-10
0.0005976	0.01819	-0.02968	6.186E-9
0.0006871	-0.004449	-0.02919	8.925E-9
-0.0002674	-0.02969	-0.02883	6.868E-9
0.0002322	-0.05189	-0.02864	7.863E-9
0.0003068	-0.06638	-0.02858	7.493E-9
0.0001427	-0.07111	-0.02845	6.269E-9
0.0004783	-0.06443	-0.02846	5.154E-9
0.0004634	-0.04738	-0.02782	7.493E-9
0.0004708	-0.02298	-0.02857	6.608E-9
0.0004634	0.001822	-0.02808	6.353E-9
-8.101E-5	0.02195	-0.02786	4.014E-9
6.813E-5	0.03369	-0.02804	1.182E-8
-0.0002973	0.03345	-0.0276	1.059E-8
0.0006498	0.02253	-0.02765	2.693E-8
6.813E-5	0.002173	-0.02742	3.218E-8
0.0001576	-0.02347	-0.02758	3.709E-8
0.0004112	-0.04675	-0.02718	2.374E-8
0.0004037	-0.06279	-0.02711	2.59E-8
0.0001949	-0.06919	-0.02733	2.798E-8
3.831E-5	-0.06395	-0.02755	2.106E-8
0.0003515	-0.04939	-0.02666	2.167E-8
0.0004932	-0.02774	-0.02724	3.294E-8
0.0002247	-0.002678	-0.02696	3.588E-8
0.0003291	0.01858	-0.02691	2.607E-8
-8.846E-5	0.03183	-0.0269	3.528E-8
0.0002471	0.03436	-0.02694	3.391E-8
0.0004186	0.02562	-0.02684	2.522E-8
0.0004037	0.00794	-0.02663	3.05E-8
0.0002471	-0.01528	-0.02667	3.256E-8
1.021E-6	-0.03866	-0.02659	4.98E-8
-2.135E-5	-0.05627	-0.0266	3.831E-8
0.0001427	-0.06474	-0.02656	4.656E-8
0.0001874	-0.06217	-0.02681	4.062E-8
0.000523	-0.04982	-0.02675	3.588E-8
0.0002024	-0.02949	-0.02684	2.106E-8
0.0002695	-0.005575	-0.0263	3.294E-8
0.0002993	0.01581	-0.02663	2.374E-8
0.000262	0.03054	-0.02631	2.977E-8
0.00018	0.03525	-0.02614	4.431E-8
0.000441	0.0295	-0.0264	3.935E-8
0.000344	0.01538	-0.02628	2.798E-8
0.0007094	-0.004994	-0.02627	2.309E-8
5.322E-5	-0.02709	-0.02676	2.341E-8
0.0002546	-0.04521	-0.0262	2.851E-8
0.0005305	-0.05514	-0.02639	2.798E-8
0.0002546	-0.05528	-0.02626	2.456E-8
0.0004783	-0.04561	-0.02607	3.013E-8
-5.863E-5	-0.02938	-0.02628	2.03E-8
0.0001502	-0.009462	-0.02668	1.373E-8
3.085E-5	0.01071	-0.02631	1.486E-8
0.0005081	0.02587	-0.0263	1.538E-8
0.0002173	0.03244	-0.02661	9.637E-9
0.0001651	0.0282	-0.026	3.016E-9
0.000344	0.01467	-0.02627	4.425E-9
0.0001427	-0.003283	-0.02629	2.361E-9
-0.0002749	-0.02179	-0.02646	4.71E-9
0.0006498	-0.03818	-0.0264	2.624E-9
0.0005901	-0.04854	-0.02625	4.425E-9
0.0004484	-0.05081	-0.0261	5.004E-9
0.0004857	-0.04287	-0.02552	8.051E-9
-0.0001481	-0.02686	-0.02614	4.566E-9
0.000359	-0.007717	-0.02674	1.786E-9
0.0005528	0.00995	-0.02655	7.043E-9
0.001038	0.02289	-0.02625	5.778E-9
4.576E-5	0.02896	-0.02606	8.148E-10
-0.000163	0.02672	-0.0264	3.002E-9
0.0007915	0.01589	-0.02629	1.487E-10
9.051E-5	-0.0003268	-0.02679	2.162E-10
-0.0001556	-0.01831	-0.02629	8.148E-10
0.000605	-0.03419	-0.0261	3.581E-10
0.0002247	-0.0432	-0.02631	1.834E-11
0.0002173	-0.04523	-0.02637	1.361E-10
0.0002247	-0.03908	-0.02634	2.314E-11
0.0001725	-0.02629	-0.02629	3.545E-9
0.0001278	-0.01081	-0.0264	1.216E-9
0.000262	0.005224	-0.02648	1.126E-10
0.0007318	0.01768	-0.02615	4.879E-10
0.0002695	0.02439	-0.02625	5.547E-11
0.0004783	0.02358	-0.02602	2.052E-9
0.0003515	0.01509	-0.02637	9.827E-13
0.0005528	0.001399	-0.02616	3.931E-9
0.0002695	-0.01465	-0.02602	5.359E-11
0.0003739	-0.02929	-0.02681	1.56E-9
8.305E-5	-0.03883	-0.02605	2.1E-9
3.831E-5	-0.04226	-0.02599	1.031E-9
0.0001203	-0.03782	-0.02628	2.775E-9
0.0003813	-0.02687	-0.02606	1.478E-9
0.0004559	-0.01212	-0.02622	1.41E-11
0.0002396	0.003694	-0.02604	5.603E-10
2.339E-5	0.01619	-0.02587	1.213E-10
0.0001725	0.02281	-0.02641	2.004E-9
-0.0001034	0.02307	-0.02603	1.317E-11
0.000344	0.01667	-0.02608	1.126E-10
0.0003515	0.005142	-0.02587	2.052E-9
0.0002173	-0.008716	-0.02637	1.099E-10
3.831E-5	-0.0219	-0.02587	6.442E-10
0.000441	-0.03164	-0.0262	1.487E-10
-6.436E-6	-0.03556	-0.02583	2.715E-11
0.0005006	-0.03324	-0.0261	2.046E-10
0.0002247	-0.02581	-0.02628	3.293E-11
0.000262	-0.01464	-0.02567	2.209E-9
0.0005305	-0.001685	-0.02603	2.31E-9
0.0003888	0.01004	-0.02558	2.517E-9
0.0002844	0.01751	-0.02604	5.154E-9
0.0002844	0.0199	-0.0253	5.859E-9
-0.000163	0.01686	-0.02565	8.629E-9
0.0006647	0.008598	-0.02557	7.677E-9
0.0005305	-0.002288	-0.02587	7.77E-9
-9.592E-5	-0.01375	-0.02579	1.551E-8
0.0001651	-0.02375	-0.02591	8.826E-9
0.0002173	-0.02864	-0.02549	7.132E-9
0.0004559	-0.02804	-0.02531	8.925E-9
0.0001651	-0.02258	-0.02542	8.629E-9
0.0004335	-0.01366	-0.02558	1.36E-8
3.831E-5	-0.003137	-0.02554	1.081E-8
1.594E-5	0.006941	-0.02546	1.373E-8
0.0001949	0.0134	-0.02522	3.313E-8
0.0002993	0.01607	-0.0254	2.423E-8
1.594E-5	0.01379	-0.02505	4.256E-8
0.0005006	0.006555	-0.0253	3.548E-8
0.0003739	-0.00227	-0.02511	1.985E-8
0.0004335	-0.01151	-0.02527	2.78E-8
0.0004484	-0.01967	-0.02514	2.607E-8
0.0003142	-0.02417	-0.0249	2.851E-8
0.0005081	-0.02451	-0.02548	3.256E-8
0.0001874	-0.02056	-0.02487	1.853E-8
-6.609E-5	-0.01282	-0.0254	2.941E-8
9.796E-5	-0.002846	-0.02521	3.528E-8
0.0001949	0.006595	-0.0248	4.169E-8
0.0003813	0.01333	-0.02496	3.548E-8
-0.0002973	0.01649	-0.02484	2.675E-8
0.000344	0.01502	-0.02462	4.431E-8
0.0002695	0.009251	-0.02479	3.143E-8
-6.609E-5	0.0009573	-0.02481	3.333E-8
0.0001651	-0.008006	-0.02437	4.957E-8
0.0005081	-0.01563	-0.02436	2.658E-8
1.021E-6	-0.02061	-0.02443	3.124E-8
0.0003813	-0.02177	-0.02426	2.71E-8
-5.863E-5	-0.01858	-0.02459	3.371E-8
0.0004186	-0.01215	-0.02354	1.486E-8
4.576E-5	-0.005027	-0.02364	2.556E-8
0.0004857	0.001631	-0.02399	3.709E-8
-0.0001108	0.006496	-0.02307	3.352E-8
0.000262	0.009045	-0.02334	1.125E-8
0.0001352	0.008992	-0.02306	2.815E-8
0.0003813	0.005326	-0.02306	2.489E-8
0.0001502	-0.00126	-0.02276	2.641E-8
0.0004708	-0.007963	-0.02278	2.904E-8
0.0004932	-0.01267	-0.02267	1.631E-8
-0.00026	-0.01584	-0.0226	1.955E-8
-3.626E-5	-0.01643	-0.0227	8.925E-9
0.0002918	-0.01485	-0.02216	1.754E-8
0.0005603	-0.01134	-0.022	1.228E-8
0.000441	-0.005779	-0.02232	6.522E-9
0.0004634	0.0001522	-0.02183	6.269E-9
8.305E-5	0.004255	-0.02183	4.425E-9
0.0005528	0.005757	-0.02192	4.286E-9
0.0001203	0.004905	-0.02187	1.698E-9
0.0002322	0.002689	-0.0215	5.384E-9
0.0003217	-0.0006138	-0.02134	9.95E-9
0.0002024	-0.004226	-0.02174	7.043E-9
0.0003739	-0.008121	-0.0218	5.004E-9
0.0003142	-0.01169	-0.02082	2.789E-9
0.00018	-0.01253	-0.02125	1.969E-9
0.00018	-0.01151	-0.02128	2.111E-9
0.0003664	-0.008592	-0.02144	1.216E-9
0.0005081	-0.004617	-0.02083	1.41E-11
0.0003291	-0.0008587	-0.0208	3.384E-10
0.0002098	0.003094	-0.02077	3.384E-10
0.0003813	0.006114	-0.02073	3.581E-10
0.0001725	0.007459	-0.02062	4.087E-11
0.0005379	0.006797	-0.02007	5.356E-10
0.000359	0.004048	-0.02026	3.992E-10
0.0002024	6.673E-5	-0.02004	3.44E-11
0.0002098	-0.003907	-0.01998	2.849E-11
-0.0002376	-0.007371	-0.01957	1.731E-9
0.0001576	-0.00941	-0.01976	3.926E-11
0.0004037	-0.01036	-0.01954	6.159E-11
0.0005454	-0.009604	-0.0196	1.135E-9
0.0002471	-0.007084	-0.01927	1.332E-10
0.0002471	-0.003361	-0.01948	2.4E-9
-0.0001183	0.0008129	-0.01916	1.126E-10
0.0003664	0.003993	-0.01886	3.784E-10
2.339E-5	0.005984	-0.01903	9E-10
0.0001576	0.006643	-0.01907	1.213E-10
-0.0002451	0.005734	-0.01921	4.132E-9
2.339E-5	0.003743	-0.01898	1.644E-9
2.339E-5	0.00101	-0.01848	9E-10
0.0001129	-0.002176	-0.01848	4.879E-10
0.0001502	-0.004657	-0.01839	2.298E-9
0.0003813	-0.006199	-0.01771	6.377E-10
0.0002993	-0.00646	-0.01806	2.32E-10
0.0004037	-0.005237	-0.01804	1.82E-9
0.0004037	-0.002868	-0.01795	1.282E-9
0.0004261	-9.152E-5	-0.01751	1.969E-9
0.0005305	0.00258	-0.01746	2.162E-10
8.305E-5	0.004845	-0.01742	6.442E-10
0.000441	0.005705	-0.01678	2.775E-9
0.0001352	0.005815	-0.01649	2.524E-10
0.0001054	0.004689	-0.01631	4.478E-10
0.0001129	0.002652	-0.01602	5.415E-10
0.000523	-0.0001673	-0.01621	7.015E-11
0.0003291	-0.003029	-0.01645	2.259E-9
0.0007243	-0.004745	-0.01561	1.074E-9
0.0001949	-0.005371	-0.01561	2.183E-8
0.0005528	-0.004581	-0.01599	6.78E-9
3.085E-5	-0.003286	-0.01505	5.54E-9
0.0006349	-0.002782	-0.01534	1.148E-8
5.322E-5	-0.001584	-0.01543	7.77E-9
0.0001651	-3.977E-5	-0.01502	7.863E-9
0.0002844	0.0008743	-0.01499	4.149E-9
0.0001129	0.001403	-0.01412	6.694E-9
0.0005156	0.0008622	-0.01467	4.286E-9
0.0002247	-0.0001704	-0.01418	7.77E-9
0.000262	-0.0008569	-0.01421	7.957E-9
0.0005006	-0.001427	-0.01399	1.324E-8
-0.0003196	-0.001964	-0.01355	1.336E-8
-0.0003569	-0.002798	-0.01379	1.385E-8
0.000441	-0.003376	-0.01299	2.439E-8
-0.0001407	-0.003698	-0.01294	2.539E-8
0.0005006	-0.003235	-0.01307	3.333E-8
0.0002769	-0.001522	-0.0127	2.675E-8
0.0005528	0.00063	-0.01261	2.325E-8
0.000344	0.00261	-0.01237	2.995E-8
0.0001874	0.004143	-0.01221	3.608E-8
1.594E-5	0.004831	-0.01222	3.199E-8
0.0006349	0.004721	-0.01153	3.528E-8
0.0004484	0.004544	-0.01162	3.488E-8
-6.609E-5	0.003842	-0.01139	3.568E-8
0.0004261	0.002262	-0.01125	3.256E-8
0.0004484	-0.000411	-0.01087	2.762E-8
0.0001576	-0.002855	-0.01058	3.143E-8
0.0004112	-0.004307	-0.01039	1.564E-8
8.305E-5	-0.004548	-0.01013	2.745E-8
0.000262	-0.004145	-0.01024	2.833E-8
0.0001129	-0.003505	-0.01024	3.528E-8
0.0002844	-0.00313	-0.009647	5.364E-8
0.0001725	-0.001866	-0.009424	4.91E-8
0.0003962	0.0005355	-0.009416	3.568E-8
0.0003291	0.002728	-0.009081	3.469E-8
0.0003366	0.003756	-0.008708	2.015E-8
0.0003888	0.00317	-0.008589	3.106E-8
0.0001725	0.001277	-0.008447	3.162E-8
0.0002844	-0.00094	-0.008081	3.811E-8
0.0002098	-0.002621	-0.008052	4.126E-8
-2.881E-5	-0.004377	-0.007731	2.167E-8
0.0001427	-0.006013	-0.007142	1.577E-8
0.0002844	-0.007068	-0.007992	2.39E-8
7.559E-5	-0.007222	-0.007	2.489E-8
0.0004261	-0.005649	-0.006903	3.05E-8
0.0003217	-0.003507	-0.006344	2.798E-8
0.000605	-0.0007366	-0.00609	2.23E-8
9.796E-5	0.00135	-0.005755	1.926E-8
0.0005528	0.002488	-0.005874	2.015E-8
0.0001874	0.003132	-0.005591	1.048E-8
0.0002769	0.00261	-0.00527	1.577E-8
0.0005678	0.001363	-0.005017	6.522E-9
8.478E-6	-0.001001	-0.004703	4.081E-9
0.0003739	-0.004118	-0.004614	1.698E-9
-9.592E-5	-0.006493	-0.004249	4.638E-9
1.021E-6	-0.007924	-0.00398	5.619E-9
0.0002098	-0.008016	-0.0036	3.816E-9
0.0005305	-0.007205	-0.00354	3.623E-9
0.0002918	-0.005526	-0.00351	2.958E-9
0.0001054	-0.003238	-0.003018	4.566E-9
1.021E-6	-0.0003406	-0.003003	1.786E-9
0.0002769	0.001771	-0.002772	1.039E-9
0.0001874	0.00276	-0.002817	5.619E-9
0.0005379	0.002426	-0.002302	2.314E-11
0.0005006	0.001456	-0.002302	2.775E-9
0.0002024	-0.000106	-0.002071	2.2E-10
0.0002546	-0.002837	-0.001594	3.007E-10
0.0006572	-0.006054	-0.001832	2.307E-12
0.0002098	-0.00889	-0.00134	3.926E-11
0.0004634	-0.01014	-0.001169	8.686E-10
-1.389E-5	-0.009574	-0.0006096	1.251E-12
0.0004783	-0.007593	-0.0007885	1.099E-10
0.0004037	-0.005123	-0.0004231	1.487E-10
0.0002173	-0.00225	-0.0002218	6.114E-10
0.0003515	0.0005096	-0.0001025	7.229E-11
-3.626E-5	0.003045	0.0004941	4.187E-12
9.796E-5	0.004395	0.0006656	2.01E-10
0.0003291	0.004305	0.001061	6.646E-10
0.0002471	0.002621	0.0009191	9.916E-11
-0.0001705	-1.864E-6	0.0009266	1.332E-10
0.0002024	-0.002664	0.001165	5.443E-9
0.0005006	-0.005024	0.001381	1.602E-9
0.0005081	-0.006647	0.002038	1.775E-9
0.0004186	-0.007939	0.002261	1.135E-9
0.0002098	-0.007912	0.002299	4.424E-10
0.0003291	-0.006907	0.002209	3.581E-10
0.0001874	-0.00551	0.002537	1.332E-10
0.000441	-0.002811	0.002933	1.207E-9
0.0004335	-0.0002221	0.003216	3.866E-9
0.0001725	0.001717	0.003574	1.41E-11
0.0004783	0.00284	0.003417	7.926E-11
8.305E-5	0.002245	0.003969	3.052E-10
0.0004484	0.0001642	0.004111	6.442E-10
0.0005081	-0.002342	0.004051	5.115E-10
0.0004783	-0.004809	0.004148	8.452E-10
9.796E-5	-0.00695	0.004536	4.205E-10
3.831E-5	-0.009207	0.004856	1.251E-12
0.0002769	-0.0107	0.00514	6.712E-10
3.831E-5	-0.01221	0.005632	1.727E-11
9.051E-5	-0.01234	0.0059	5.415E-10
0.0002024	-0.01104	0.005774	3.312E-9
3.831E-5	-0.009187	0.005856	2.789E-9
0.0007169	-0.007188	0.006273	5.778E-9
0.0002173	-0.005449	0.006467	7.043E-9
0.0003962	-0.005256	0.006482	3.192E-9
0.0002322	-0.006372	0.006698	6.103E-9
0.0003366	-0.008756	0.006877	4.495E-9
0.0002546	-0.01189	0.00763	6.186E-9
0.0002471	-0.0151	0.007407	8.727E-9
0.0001651	-0.01776	0.007817	7.957E-9
0.0005081	-0.01989	0.007563	9.431E-9
0.0001949	-0.02067	0.007466	1.17E-8
0.0001203	-0.02017	0.008227	7.585E-9
3.831E-5	-0.01824	0.008123	1.713E-8
-0.0003569	-0.01557	0.008413	1.631E-8
0.0003217	-0.01275	0.008734	1.97E-8
